MVSK,鈦合金0.25MM無痛微針滾輪(540微針頭) (1piece),HK$239.8
碧歐泉,溫泉冰感眼霜 (15ml),HK$230.0
可萊絲,零毛孔特強保濕緊緻木炭礦物面膜  (10piece),HK$59.0
彼得羅夫,玫瑰細胞修護面膜套裝 (3piece),HK$767.0
A.H.C,高效B5水合爽膚水 (120ml),HK$99.0
瑞士葆麗美,水份彈性面膜  (200ml),HK$1144.0
It's Skin,晶鑽蝸牛全效修護化妝水 (滋潤型)  (140ml),HK$180.0
DEVDO,逆齡導入精華 90% HPBRT™ (人胎素複製成份) (30piece),HK$561.6
確不同,SPF50 嬰幼兒滋潤防曬露 (237ml),HK$98.0
雪花秀,基礎護理套裝 (2 件裝) (2piece),HK$25.0
Clarins,煥顏緊緻晚霜 (適合任何肌膚)  (50ml),HK$646.0
Clarins,清爽平衡潔面泡沫 (125ml),HK$204.0
SNP,小貓咪緊緻面膜  (10piece),HK$48.0
Fancl,淨肌保濕潔面粉 (50g),HK$132.0
Dr. Jart+,專業亮肌微細纖維面膜   (5piece),HK$109.0
可萊絲,燕窩蛋白膠原氨基酸潤肌面膜  (10piece),HK$59.0
HABA,鯊烯精華卸妝油  (120ml),HK$187.0
Clarins,電眼精華 (15ml),HK$425.0
資生堂,Glow Revival Eye Treatment (15ml),HK$360.0
Clarins,滋潤舒緩潔面泡沫 (125ml),HK$204.0
Barrier Repair (Mandom Corp),曼丹嬰兒肌 緊緻滑肌面膜  (10piece),HK$58.0
Barrier Repair (Mandom Corp),BARRIER REPAIR 三重補濕彈力面膜(極潤)  (5piece),HK$69.9
悅詩風吟,綠茶籽保溼精華 (80ml),HK$138.0
資生堂,Glow Revival Cream (50ml),HK$648.0
科颜氏,1號護唇膏  (15ml) (#1),HK$80.0
彼得羅夫,植物角鯊烯精華液 (30ml),HK$420.0
蘭芝,輕盈清爽補濕液 (120ml),HK$184.0
蘭芝,水凝潔膚泡沫  (180ml),HK$110.0
Rosette,去角質凝膠  (120g),HK$29.9
FRESH,紅茶抗皺緊緻精華眼霜 (15ml),HK$710.0
彼得羅夫,玫瑰細胞修護精華水 (Hello Kitty 限量版) (200ml),HK$360.0
科颜氏,金盞花深層潔面泡沫 (230ml),HK$221.0
MVSK,24K金離子導入棒,HK$599.8
FRESH,睡蓮青春活膚眼霜 (15ml),HK$400.0
PAPA RECIPE,春雨蜂蜜保濕爽膚水 (200ml),HK$65.0
Clarins,煥顏緊緻日霜 (適合任何肌膚)  (50ml),HK$612.0
獅王,麗的化妝棉180片孖裝送贈品  (360piece),HK$29.9
L'AFFAIR,彩虹三部曲面膜 (水庫)  (10piece),HK$75.0
雪花秀,滋陰乳液 (125ml),HK$320.0
瑞士葆麗美,魚子緊緻護理套裝 (7ml),HK$2880.0
Medicox,皇家黃金鱘魚子全效再生精華  (30ml),HK$388.0
Medicox,MF2.0 美光儀 (1piece) (Champagne Gold),HK$796.0
可萊絲,Line Friends 莎莉高效抗痘淨膚保濕導入面膜  (10piece),HK$79.0
歐緹麗,葡萄潔顏摩絲 (150ml),HK$130.0
